User ID,Problem Index,Problem ID,Setting
person1,1,MbppEval_75,Setting-1 (Writing Code)
person1,2,HumanEval_19,Setting-2 (Fixing Code)
person1,3,HumanEval_121,Setting-3 (Fixing Tests)
person1,4,HumanEval_10,Setting-1 (Writing Code)
person1,5,MbppEval_803,Setting-2 (Fixing Code)
person1,6,MbppEval_435,Setting-3 (Fixing Tests)
person1,7,HumanEval_52,Setting-1 (Writing Code)
person1,8,HumanEval_113,Setting-2 (Fixing Code)
person1,9,HumanEval_149,Setting-3 (Fixing Tests)
person1,10,MbppEval_292,Setting-1 (Writing Code)
person1,11,MbppEval_612,Setting-2 (Fixing Code)
person1,12,MbppEval_57,Setting-3 (Fixing Tests)
person1,13,MbppEval_808,Setting-1 (Writing Code)
person1,14,MbppEval_59,Setting-2 (Fixing Code)
person1,15,MbppEval_285,Setting-3 (Fixing Tests)
person1,16,MbppEval_62,Setting-1 (Writing Code)
person1,17,HumanEval_119,Setting-2 (Fixing Code)
person1,18,MbppEval_458,Setting-3 (Fixing Tests)
person1,19,HumanEval_158,Setting-1 (Writing Code)
person1,20,MbppEval_644,Setting-2 (Fixing Code)
person2,1,MbppEval_75,Setting-2 (Fixing Code)
person2,2,HumanEval_19,Setting-3 (Fixing Tests)
person2,3,HumanEval_121,Setting-1 (Writing Code)
person2,4,HumanEval_10,Setting-2 (Fixing Code)
person2,5,MbppEval_803,Setting-3 (Fixing Tests)
person2,6,MbppEval_435,Setting-1 (Writing Code)
person2,7,HumanEval_52,Setting-2 (Fixing Code)
person2,8,HumanEval_113,Setting-3 (Fixing Tests)
person2,9,HumanEval_149,Setting-1 (Writing Code)
person2,10,MbppEval_292,Setting-2 (Fixing Code)
person2,11,MbppEval_612,Setting-3 (Fixing Tests)
person2,12,MbppEval_57,Setting-1 (Writing Code)
person2,13,MbppEval_808,Setting-2 (Fixing Code)
person2,14,MbppEval_59,Setting-3 (Fixing Tests)
person2,15,MbppEval_285,Setting-1 (Writing Code)
person2,16,MbppEval_62,Setting-2 (Fixing Code)
person2,17,HumanEval_119,Setting-3 (Fixing Tests)
person2,18,MbppEval_458,Setting-1 (Writing Code)
person2,19,HumanEval_158,Setting-2 (Fixing Code)
person2,20,MbppEval_644,Setting-3 (Fixing Tests)
person3,1,MbppEval_75,Setting-3 (Fixing Tests)
person3,2,HumanEval_19,Setting-1 (Writing Code)
person3,3,HumanEval_121,Setting-2 (Fixing Code)
person3,4,HumanEval_10,Setting-3 (Fixing Tests)
person3,5,MbppEval_803,Setting-1 (Writing Code)
person3,6,MbppEval_435,Setting-2 (Fixing Code)
person3,7,HumanEval_52,Setting-3 (Fixing Tests)
person3,8,HumanEval_113,Setting-1 (Writing Code)
person3,9,HumanEval_149,Setting-2 (Fixing Code)
person3,10,MbppEval_292,Setting-3 (Fixing Tests)
person3,11,MbppEval_612,Setting-1 (Writing Code)
person3,12,MbppEval_57,Setting-2 (Fixing Code)
person3,13,MbppEval_808,Setting-3 (Fixing Tests)
person3,14,MbppEval_59,Setting-1 (Writing Code)
person3,15,MbppEval_285,Setting-2 (Fixing Code)
person3,16,MbppEval_62,Setting-3 (Fixing Tests)
person3,17,HumanEval_119,Setting-1 (Writing Code)
person3,18,MbppEval_458,Setting-2 (Fixing Code)
person3,19,HumanEval_158,Setting-3 (Fixing Tests)
person3,20,MbppEval_644,Setting-1 (Writing Code)
person4,1,MbppEval_809,Setting-1 (Writing Code)
person4,2,HumanEval_141,Setting-2 (Fixing Code)
person4,3,MbppEval_238,Setting-3 (Fixing Tests)
